date,close,compound,normal_close
2021-03-10,232.419998,0.0305,0.08117615686274426
2021-03-11,237.13000499999998,0.06075,0.26588231372548954
2021-03-12,235.75,0.00845,0.21176447058823378
2021-03-15,234.809998,0.028919999999999998,0.17490164705882272
2021-03-16,237.710007,0.029560000000000003,0.2886274901960775
2021-03-17,237.039993,0.06405,0.26235243137254827
2021-03-18,230.72000099999997,0.037380000000000004,0.014509607843134376
2021-03-19,230.350006,0.0127,0.0
2021-03-22,235.99000499999997,0.03081,0.2211764313725464
2021-03-23,237.580002,0.029639999999999996,0.28352925490196057
2021-03-24,235.460007,0.00603,0.20039219607843073
2021-03-25,232.33999599999999,0.02609,0.07803882352941116
2021-03-26,236.479996,-0.04386,0.24039176470588153
2021-03-29,235.24000499999997,-0.036739999999999995,0.19176466666666414
2021-03-30,231.850006,-0.0034200000000000003,0.0588235294117645
2021-03-31,235.770004,-0.02477,0.21254894117647005
2021-04-01,242.350006,-0.01937,0.47058823529411775
2021-04-05,249.07000699999998,0.025910000000000002,0.7341176862745087
2021-04-06,247.86000099999998,-0.031219999999999998,0.6866664705882339
2021-04-07,249.899994,0.02089,0.7666661960784307
2021-04-08,253.25,0.02514,0.8980389803921565
2021-04-09,255.850006,0.025869999999999997,1.0
